UUID	Q#	Trust Index Dimension	Domain applicability	Country applicability	M/O	Group or not group	Question type	Question	Question - Proposed revision	Response indicators	RI - Proposed revision	Score	Points Available	Weighting (low-high)	Reference	Alt Text
Q62CB7	15	Accountability				not group	Mitigation	At what stage of development is your organization's risk management process?					1	high	Reccomended guidance from the Montreal Declaration:  2) When the misuse of an AIS endangers public health or safety and has a high probability of occurrence, it is prudent to restrict open access and public dissemination to its algorithm.  5) The errors and ﬂaws discovered in AIS and SAAD should be publicly shared, on a global scale, by public institutions and businesses in sectors that pose a signiﬁcant danger to personal integrity and social organization.  Reccommended guidance from IEEE - Ethically Aligned Design:  Awareness of Misuse 1) Creators should be aware of methods of misuse, and they should design A/IS in ways to minimize the opportunity for these.   2) Raise public awareness around the issues of potential A/IS technology misuse in an informed and measured way by:   - Providing ethics education and security awareness that sensitizes society to the potential risks of misuse of A/IS. For example, provide “data privacy warnings” that some smart devices will collect their users’ personal data.   - Delivering this education in scalable and effective ways, including having experts with the greatest credibility and impact who can minimize unwarranted fear about A/IS.   - Educating government, lawmakers, and enforcement agencies about these issues of A/IS so citizens can work collaboratively with these agencies to understand safe use of A/IS. For example, the same way police officers give public safety lectures in schools, they could provide workshops on safe use and interaction with A/IS.	
A3598E										Does not exist, risk assessment for processes for technology and business decisions do not currently occur.		-1				
AA7EC0										Initial, organization considers risks in an ad hoc manner without following defined processes or polices.		-0.5				
A45E90										Repeatable but intuative, There is an emerging understanding that risks are important and need to be considered. Some approaches to risk assessment exist, but the process is still immature and under development.		0.5				
A7A99E										Defined process, an organization-wide risk management policy defines when and how to conduct risk assessments. Risk assessment follows a defined process that is documented and available to all staff through training.		0.75				
A68762										Managed and measurable, the assessment of risk is a standard procedure and exceptions to following the procedure would be noticed by management. It is likely that risk management is a defined management function with senior level responsiblity. Senior management have determined the levels of risk that the organiation will tolerate and have standards measures for risk/ return ratios.		1				
Q71FC3	16	Bias and Fairness				Group	Mitigation	Does your organization have a review model in place including looking at aspects of diversity and complete representation to ensure alternative perspectives or viewpoints are taken into account in advance of the system operating?		select all that apply:			1	medium	Diversity and inclusion is not only an important aspect of how a business establishes their operations, but how they conduct their busienss, this is a good guide on establishing a Diversity and Inclusion Strategic Plan and Maturity Model within an organization.  Diversity Best Practices Guide: https://www.diversitybestpractices.com/sites/diversitybestpractices.com/files/attachments/2018/01/kaiser_final_part_2_3.pdf.	
A14629										Governance board includes diverse and complete representation including members who represent each area of the organization as well as those with legal and financial responsibilities.		0.2				
AFDC95										Governance board includes a minimum of one individual with reasonable experience and knoweldge in ethics.		0.2				
ADA33F										There is a mechanism and review process for items raised by individuals or groups working on the project to present information such as potential issues, including but not limited to, risks (eg. biases, maturity of process, lack of fairness, etc)		0.2				
A74430										There is a mechanism and review process for credible third parties to review project and comment on any issues, including but not limited, potential risks of the project (eg. biases, maturity of process, lack of fairness, etc)		0.2				
A4C27A										If a third party (eg. government body, civil society organization, etc) or member of the public is aware of the project, there is a mechanism and review process to ensure their question is addressed in a timely manner.		0.2				
AC7524										No review model		0				
Q05AA0	17	Accountability				Group	Risk	What type of technology are you using? 		select all that apply:			1	low	More information coming soon	
A3B229										Image and object recognition: analyzing datasests to automate the recognition, classification, reinforcement, and context associated with an image or object.		1				
A225B1										Text and speech analysis: analyzing datasets to recognize, process, and tag text, speech, voice, and make recommendations based on the tagging.		0.5				
AB729E										Risk assessment: Analyzing datasets to identify patterns and and recommend courses of action and in some cases trigger specific actions.		0.5				
A27287										Content generation: Analyzing dataset to categorize, process, triage, personalize, and serve specific content for specific contexts.		0.5				
AE3D90										Process optimization and workflow automation: Analyzing datasets to identify anomalies, cluster patterns, predict outcomes or ways to optimize and automate specific workflows.		0.5				
A3DC25										Other		0.2				
QE51EB	18	Explainability and Interpretability				Group	Mitigation	Is it possible to discover how your system renders a decision or performs a function?					1	medium	Recommended guidance from IEEE Ethically Aligned Design: Achieving transparency, which may involve a significant portion of the resources required to develop the A/IS, is important to each stakeholder group for the following reasons:  - For users, what the system is doing and why.  - For creators, including those undertaking the validation and certification of A/IS, the systems’ processes and input data.  - For an accident investigator, if accidents occur.  - For those in the legal process, to inform evidence and decision-making.  - For the public, to build confidence in the technology.  Recommended guidance from EU: Explanation (XAI research): A known issue with learning systems based on neural nets is the difficulty to provide clear reasons for the interpretations and decisions of the system. This is due to the fact that the training process has resulted in setting the network parameters to numerical values that are difficult to correlate with the results. In addition, sometimes small changes in some values of the data might result in dramatic changes in the interpretation, leading the system to confuse a school bus with an ostrich for example. This specific issue might be used to deceive the system.   For a system to be trustworthy, it is necessary to be able to understand why it had a given behaviour and why it has provided a given interpretation. It is also necessary to limit these adversarial situations. As of today, this is still an open challenge to AI systems based on neural networks. A whole field of research, Explainable AI (XAI) is trying to address this issue, to better understand the underlying mechanisms and find solutions. The matter is of prime importance not only to explain AI’s behaviour to the developer or the user, but also to simply deploy reliable AI systems.	
A8AB44										System is transparent, it is possible to know for certain how and why the system made a particular decision, or in the case of a robot, acted the way it did.		1				
A58099										System is opaque, it is possible through post-decision or post-action, to analyze through various processes (eg. counterfactual or repeatability testing) to draw an accurate conculsion on how the decision was made or the action was taken.		0.5				
ADD756										System is a black box, but detailed records of the design processes and decision making have been kept throughout the entire process.		0.5				
AABDB4										System is a black box, it is possible to make best guesses on why a decision was rendered or a decision was taken, but it's not certain.		0.5				
QA94E7	19	Robustness				Group	Mitigation	What type(s) of testing have been conducted to ensure quality development of the system?		select all that have been completed:			1	high	Recommended guidance from Google's Responsible AI Practices: Learn from software engineering best test practices and quality engineering to make sure the AI system is working as intended and can be trusted.  1) Conduct rigorous unit tests to test each component of the system in isolation.  2) Conduct integration tests to understand how individual ML components interact with other parts of the overall system.  3) Proactively detect input drift by testing the statistics of the inputs to the AI system to make sure they are not changing in unexpected ways.  4) Use a gold standard dataset to test the system and ensure that it continues to behave as expected. Update this test set regularly in line with changing users and use cases, and to reduce the likelihood of training on the test set.  5) Conduct iterative user testing to incorporate a diverse set of users’ needs in the development cycles.  6) Apply the quality engineering principle of poka-yoke: build quality checks into a system, so that unintended failures either cannot happen or trigger an immediate response (e.g., if an important feature is unexpectedly missing, the AI system won’t output a prediction).	
AD160E										None yet		0				
AEC1A4										Rigorous unit tests to test each component of the system in isolation.		0.125				
A5D66B										Integration tests to understand how individual ML components interact with other parts of the overall system.		0.125				
A4D2FA										Proactive detection to determine drift by testing the statistics of the inputs to the AI system to ensure they are not changing in unexpected ways.		0.125				
A1C8F3										A diverse dataset covering most states of the input variables with many individual examples was used to test the system and ensure that it continues to behave as expected.		0.125				
A6DB38										Edge cases and extreme scenarios have been studied and experimented with to ensure acceptable system performance under all intended use cases of the system		0.125				
AC88AB										Iterative user testing to incorporate a diverse set of user needs in the development cycles.		0.125				
AC5768										Quality engineering principles like poka-yoke have been used to build quality checks into a system so that unintended failures either cannot happen or trigger an immediate response.		0.125				
Q1FB1A	20	Explainability and Interpretability				not group	Mitigation	With which of the following groups are you willing to share information about how your system renders a decision or performs a function in an easy to understand way? Information should include, but not be limited to, data sources, development processess, and consulted stakeholders.					1	low	Recommended guidance from IEEE Ethically Aligned Design:    Develop new standards that describe measurable, testable levels of transparency, so that systems can be objectively assessed and levels of compliance determined. For designers, such standards will provide a guide for self-assessing transparency during development and suggest mechanisms for improving transparency. The mechanisms by which transparency is provided will vary significantly, including but not limited to, the following use cases: - For users of care or domestic robots, a “whydid-you-do-that button” which, when pressed, causes the robot to explain the action it just took. - For validation or certification agencies, the algorithms underlying the A/IS and how they have been verified. - For accident investigators, secure storage of sensor and internal state data comparable to a flight data recorder or black box.	Maps to EU assessment item - "have criteria for deployment for the product been set and made availbale to the user?"
AF650B										The public		1				"The Principle of Explicability: “Operate transparently” Transparency is key to building and maintaining citizen’s trust in the developers of AI systems and AI systems themselves. Both technological and business model transparency matter from an ethical standpoint. Technological transparency implies that AI systems be auditable, comprehensible and intelligible by human beings at varying levels of comprehension and expertise. Business model transparency means that human beings are knowingly informed of the intention of developers and technology implementers of AI systems."
A82BB0										Users who make a special request		0.5				
A32981										Certification bodies for verification of the system		0.25				
A7A3D9										Authorities, if required		0.25				
A48F22										None of the above		0				
Q1C8CF	22	Bias and Fairness				Group	Mitigation	How does the system ensure that rights, values, and principles of the public have been protected through the data collection process?		select all that apply:			1	high	To be referenced somewhere else (w/question about transparency): Recommended guidance from the Montreal Declaration: 6) Access to fundamental resources, knowledge and digital tools must be guaranteed for all.  7) We should support the development of commons algorithms — and of open data needed to train them — and expand their use, as a socially equitable objective.  Recommended guidance from the EU - 1) Respect for (& Enhancement of) Human Autonomy: AI systems should be designed not only to uphold rights, values and principles, but also to protect citizens in all their diversity from governmental and private abuses made possible by AI technology, ensuring a fair distribution of the benefits created by AI technologies, protect and enhance a plurality of human values, and enhance self-determination and autonomy of individual users and communities.   2) Respect for (& Enhancement of) Human Autonomy (Assessment list):   - Is the user informed in case of risks on human mental integrity (nudging) by the product?  - Is useful and necessary information provided to the user of the service/product to enable the latter to take a decision in full self-determination?  - Does the AI system indicate to users that a decision, content, advice, or outcome, is the result of an algorithmic decision of any kind?  - Do users have the facility to interrogate algorithmic decisions in order to fully understand their purpose, provenance, the data relied on, etc.?	
AC637B										The system is equally available to all segments of the potential user base		0.2				
AB26CF										The user is informed on the potential risks on human mental integrity (eg. nudging) when this product is being used.		0.2				
A9E317										Useful information about the design, testing, and development of the system (including, but not limited to, decision criteria, inputs for training the model) are provided in a clear and easy to access manner to the user.		0.2				
A9CF08										Notification is provided in a clear and easy to understand way that there was a machine involved in the creation of a decision, content, advice, outcome, or action.		0.2				
A7DF83										Results of ongoing testing, training, and monitoring of the system are open and available.		0.2				
Q56654	23	Bias and Fairness				not group	Mitigation	Are the objectives of the system clear to the users?					1	low	From EU Transparency Assesment List: "have the usage scenarious for the product been specified and clearly communicated?"	
AC210D										Yes, objectives are clear		0.5				
AEEB13										Yes, clear documentation about these objectives have been provided to the intended user		0.5				
A074BD										No		0				
Q53BC0		Accountability				not group		Are the objectives of the system clear to the operators?					1	medium	We recommend that the system objectives be clearly communicated to the operators of the system 	
ACD980										Yes		1				
A794F6										No		0				
QCDD6C	24	Accountability				not group	Risk	Is there ongoing monitoring of the system to ensure that the system is operating as intended?					1	high	From EU Transparency Assesment List: "what measures are put in place to inform on the products accuracy? On the reasons/ criteria behind outcomes of the product?"	
A7E774										Yes		1				
AB4ED7										No		0				
Q22F17	25	Bias and Fairness				Group	Mitigation	In which of the following areas has the algorithm been designed or trained in a way to avoid the creation, reinforcement, or reproduction of bias:		select all that apply:			1	high	Recommended guidance from the Montreal Declaration:   1) AIS must be designed and trained so as not to create, reinforce, or reproduce discrimination based on — among other things — social, sexual, ethnic, cultural, or religious differences.  2) AIS development must help eliminate relationships of domination between groups and people based on differences of power, wealth, or knowledge.  3) AIS development must produce social and economic beneﬁts for all by reducing social inequalities and vulnerabilities.  Mental Health: Guidance from ALTAI Self-Assessment: Does the AI system risk creating human attachment, stimulating addictive behaviour, or manipulating user behaviour? Depending on which risks are possible or likely, please answer the questions below:     o Did you take measures to deal with possible negative consequences for end-users or subjects in case they develop a disproportionate attachment to the AI System?     o Did you take measures to minimise the risk of addiction?     o Did you take measures to mitigate the risk of manipulation?  	
A89E02										Socio-economic capacity		0.1				
A83E75										Physical attributes		0.1				
AB015E										Level of education		0.1				
A1EC52										Sexual orientation		0.1				
A433A7										Ethnicity		0.1				
A6A457										Cultural association(s)		0.1				
A30DB7										Religious affiliation(s)		0.1				
A1AE82										Mental health		0.1				
A7C3E5										Gender		0.1				
AE6FAD										Age		0.1				
AA93BD										Degree of ability		0.1				
A76B32										other 		0				
QE7CBC	10	Accountability				Group	Risk	What type(s) of unintended outcomes could occur from the use of this system?		select all that apply:			1	medium	Recommended guidance from European Commision Liability for Artificial Intellgence:  Below are listed the most important findings of this report on how liability regimes should be designed – and, where necessary, changed – in order to rise to the challenges emerging digital technologies bring with them.  A person operating a permissible technology that nevertheless carries an increased risk of harm to others, for example AI-driven robots in public spaces, should be subject to strict liability for damage resulting from its operation.  In situations where a service provider ensuring the necessary technical framework has a higher degree of control than the owner or user of an actual product or service equipped with AI, this should be taken into account in determining who primarily operates the technology.  A person using a technology that does not pose an increased risk of harm to others should still be required to abide by duties to properly select, operate, monitor and maintain the technology in use and – failing that – should be liable for breach of such duties if at fault.  A person using a technology which has a certain degree of autonomy should not be less accountable for ensuing harm than if said harm had been caused by a human auxiliary.  Manufacturers of products or digital content incorporating emerging digital technology should be liable for damage caused by defects in their products, even if the defect was caused   4 Expert Group on Liability for New Technologies  For situations exposing third parties to an increased risk of harm, compulsory liability insurance could give victims better access to compensation and protect potential tortfeasors against the risk of liability.  Where a particular technology increases the difficulties of proving the existence of an element of liability beyond what can be reasonably expected, victims should be entitled to facilitation of proof.  Emerging digital technologies should come with logging features, where appropriate in the circumstances, and failure to log, or to provide reasonable access to logged data, should result in a reversal of the burden of proof in order not be to the detriment of the victim.  The destruction of the victim’s data should be regarded as damage, compensable under specific conditions.  It is not necessary to give devices or autonomous systems a legal personality, as the harm these may cause can and should be attributable to existing persons or bodies.	
A5408D										Material		-1				
A7DF45										Moral		-1				
AABD4E										Physical		-1				
A0858D										None		1				
QB09AA	26	Accountability		Will depend on jurisidction -		not group	Mitigation	Were all labour laws or procedures in your jurisdiction followed throughout the development life-cycle of this project?					1	low	Recommended guidance from the Montreal Declaration: 4) Industrial AIS development must be compatible with acceptable working conditions at every step of their life cycle, from natural resources extraction to recycling, and including data processing.  5) The digital activity of users of AIS and digital services should be recognized as labor that contributes to the functioning of algorithms and creates value.	
A14D70										Yes		1				
A8CE69										No		0				
Q7F9D0	27	Data Quality				not group	Risk	How was the data being used for the system collected?					1	medium	Recommended guidance from Google's Responsible AI Practices: 1) Collect and handle data responsibly - Identify whether your ML model can be trained without the use of sensitive data, e.g., by utilizing non-sensitive data collection or an existing public data source. - If it is essential to process sensitive training data, strive to minimize the use of such data. Handle any sensitive data with care: e.g., comply with required laws and standards, provide users with clear notice and give them any necessary controls over data use, follow best practices such as encryption in transit and rest, and adhere to Google privacy principles. - Anonymize and aggregate incoming data using best practice data-scrubbing pipelines: e.g., consider removing personally identifiable information (PII) and outlier or metadata values that might allow de-anonymization (including implicit metadata such as arrival order, removable by random shuffling, as in Prochlo; or the Cloud Data Loss Prevention API to automatically discover and redact sensitive and identifying data).	
AE6FDE										Collected by same organization as development of the system		1				
A77561										Purchased by a dependable third-party		1				
ABBF24										Open dataset with known owner		1				
A8AE9E										Open dataset with unknown origin 		-0.5				
A8F903										Third-party aquisition with an unknown supply chain		-1				
AFF319										Unclear		-1				
Q69E03	28	Data Quality				Group	Risk	Does data used for training or use of the system include personal information?					1	medium	Recommended guidance from the High-Level Expert Group on AI: 1) Respect for Privacy: Privacy and data protection must be guaranteed at all stages of the life cycle of the AI system. This includes all data provided by the user, but also all information generated about the user over the course of his or her interactions with the AI system (e.g. outputs that the AI system generated for specific users, how users responded to particular recommendations, etc.). Digital records of human behaviour can reveal highly sensitive data, not only in terms of preferences, but also regarding sexual orientation, age, gender, religious and political views. The person in control of such information could use this to his/her advantage. Organisations must be mindful of how data is used and might impact users, and ensure full compliance with the GDPR as well as other applicable regulation dealing with privacy and data protection.   2) Respect for Privacy (assessment list):  - If applicable, is the system GDPR compliant?  - Is the personal data information flow in the system under control and compliant with existing privacy protection laws?  - How can users seek information about valid consent and how can such consent be revoked?  - Is it clear, and is it clearly communicated, to whom or to what group issues related to privacy violation can be raised, especially when these are raised by users of, or others affected by, the AI system?	
A106B3										No		1				
A7CC3A										Yes, age		-0.5				
AEBBEB										Yes, name		-0.5				
AFC5B0										Yes, address		-0.5				
A6CC56										Yes, gender		-0.5				
A546F0										Yes, ethnicity		-0.5				
AB47A9										Yes, status		-0.5				
ACEA1C										Yes, degree of accessibility		-0.5				
A7E34E										Yes, level of education		-0.5				
A4D8DE										Yes, income		-0.5				
A3C988										Yes, marital status		-0.5				
A89CAE										Other		-0.5				
